name,street,pzl,tel,fax,email
Michaelnbach,Grieskirchner Straße 4,4712 Michaelnbach,+43 7277 / 2555,+437277 / 2555 - 30,gemeinde@michaelnbach.ooe.gv.at
Micheldorf in Oberösterreich,Rathausplatz 1,4563 Micheldorf in OÖ,+43 7582 / 61 2 50 - 0,+437582 / 61 2 50 - 41,gemeinde@micheldorf.at
Mining,Hofmark 19,4962 Mining,+43 7723 / 7055,+437723 / 7055 - 4,gemeinde@mining.ooe.gv.at
Mitterkirchen im Machland,Mitterkirchen im Machland 50,4343 Mitterkirchen im Machland,+43 7269 / 8255 - 0,+437269 / 8255 - 25,gemeinde@mitterkirchen.ooe.gv.at
Molln,Marktstraße 1,4591 Molln,+43 7584 / 2255,+437584 / 2255 - 22,gemeinde@molln.ooe.gv.at
Mondsee,Marktplatz 14,5310 Mondsee,+43 6232 / 2203 - 0,,gemeinde@mondsee.ooe.gv.at
Moosbach,Moosbach 21,5271 Moosbach,+43 7724 / 2857,+437724 / 2857 - 4,gemeindeamt@moosbach.at
Moosdorf,Friedensplatz 1,5141 Moosdorf,+43 7748 / 2666 - 0,+437748 / 2666 - 20,gemeinde@moosdorf.ooe.gv.at
Mörschwang,Mörschwang 15,4982 Mörschwang,+43 7758 / 2266,+437758 / 2266,gemeinde@moerschwang.ooe.gv.at
Mühlheim am Inn,Kirchenstraße 2/1,4961 Mühlheim am Inn,+43 7723 / 42 9 55,+437723 / 42 9 55 - 5,gemeinde@muehlheim-inn.ooe.gv.at
Munderfing,Dorfplatz 1,5222 Munderfing,+43 7744 / 6255,+437744 / 6255 - 5,gemeinde@munderfing.ooe.gv.at
Münzbach,Arbinger Straße 7,4323 Münzbach,+43 7264 / 4555,+437264 / 4555 - 4,gemeinde@muenzbach.ooe.gv.at
Münzkirchen,Schärdinger Straße 1,4792 Münzkirchen,+43 7716 / 7255,+437716 / 7255 - 20,info@muenzkirchen.at
Naarn im Machlande,Perger Straße 2,4331 Naarn im Machlande,+43 7262 / 58 2 55,+437262 / 58 2 55 - 31,gemeinde@naarn.ooe.gv.at
Natternbach,Kirchenplatz 6,4723 Natternbach,+43 7278 / 8255 - 0,+437278 / 8255 - 2,gemeinde@natternbach.ooe.gv.at
Nebelberg,Nebelberg 50,4155 Nebelberg,+43 7287 / 7640,+437287 / 7640 - 17,gemeinde@nebelberg.ooe.gv.at
Neufelden,Markt 22,4120 Neufelden,+43 7282 / 6255,+437282 / 6255 - 8,gemeinde@neufelden.ooe.gv.at
Neuhofen an der Krems,Kirchenplatz 3,4501 Neuhofen an der Krems,+43 7227 / 4255,+437227 / 4255 - 22,gemeinde@neuhofen-krems.at
Neuhofen im Innkreis,Hauptstraße 3,4912 Neuhofen im Innkreis,+43 7752 / 82155,+437752 / 82155-20,gemeinde@neuhofen-innkreis.ooe.gv.at
Neukirchen am Walde,Marktplatz 20,4724 Neukirchen am Walde,+43 7278 / 3255,+437278 / 3255 - 2,gemeinde@neukirchen-walde.ooe.gv.at
Neukirchen an der Enknach,Dorfplatz 1,5145 Neukirchen an der Enknach,+43 7729 / 2255 - 0,+437729 / 2255 - 16,gemeinde@neukirchen.ooe.gv.at
Neukirchen an der Vöckla,Kirchenplatz 4,4872 Neukirchen an der Vöckla,+43 7682 / 7155,+437682 / 7155 - 19,gemeinde@neukirchen-voeckla.ooe.gv.at
Neukirchen bei Lambach,Neukirchen bei Lambach 8,4671 Neukirchen bei Lambach,+43 7245 / 27 0 55,,gemeinde@neukirchen-lambach.ooe.gv.at
Neumarkt im Hausruckkreis,Marktplatz 30,4720 Neumarkt im Hausruckkreis,+43 7733 / 7254,+437733 / 7254 - 14,gemeinde@neumarkt-hausruck.ooe.gv.at
Neumarkt im Mühlkreis,Marktplatz 1,4212 Neumarkt im Mühlkreis,+43 7941 / 8255 - 0,+437941 / 8255 - 23,gemeinde@neumarkt-muehlkreis.ooe.gv.at
Neustift im Mühlkreis,Passauerstraße 14,4143 Neustift im Mühlkreis,+43 7284 / 8155,+437284 / 8155 - 14,gemeinde@neustift-muehlviertel.at
Niederkappel,Hauptstraße 12,4133 Niederkappel,+43 7286 / 8555,+437286 / 8555 - 30,gemeinde@niederkappel.at
Niederneukirchen,Dorfplatz 1,4491 Niederneukirchen,+43 7224 / 7155,+437224 / 7155 - 18,gemeinde@niederneukirchen.ooe.gv.at
Niederthalheim,Hauptstraße 42,4692 Niederthalheim,+43 7673 / 7055,+437673 / 7055 - 4,gemeinde@niederthalheim.ooe.gv.at
Niederwaldkirchen,Markt 22,4174 Niederwaldkirchen,+43 7231 / 2515,,gemeinde@niederwaldkirchen.at
Nußbach,Kirchenplatz 2,4542 Nußbach,+43 7587 / 8255 - 14,+437587 / 8255 - 20,gemeinde@nussbach.ooe.gv.at
Nußdorf am Attersee,Dorfstraße 33,4865 Nußdorf am Attersee,+43 7666 / 8055,+437666 / 8022,gemeinde@nussdorf.ooe.gv.at
Oberhofen am Irrsee,Oberhofen am Irrsee 12,4894 Oberhofen am Irrsee,+43 6213 / 8215 - 0,+436213 / 8215 - 4,gemeinde@oberhofen-irrsee.ooe.gv.at
Oberkappel,Marktstraße 4,4144 Oberkappel,+43 7284 / 202 - 0,+437284 / 202-20,marktgemeinde@oberkappel.at
Obernberg am Inn,Marktplatz 36,4982 Obernberg am Inn,+43 7758 / 2255 - 0,+437758 / 2255 - 24,gemeinde@obernberg-inn.ooe.gv.at
Oberndorf bei Schwanenstadt,Atzbacher Straße 20,4690 Oberndorf bei Schwanenstadt,+43 7673 / 2356,+437673 / 2356-10,gemeinde@oberndorf.ooe.gv.at
Oberneukirchen,Marktplatz 43,4181 Oberneukirchen,+43 7212 / 7055,+437212 / 7055 - 5,gemeinde@oberneukirchen.ooe.gv.at
Oberschlierbach,Oberschlierbach 1,4554 Oberschlierbach,+43 7582 / 62019,+437582 / 62019 - 4,gemeinde@oberschlierbach.ooe.gv.at
Obertraun,Obertraun 180,4831 Obertraun,+43 6131 / 342,+436131 / 342 - 22,gemeinde@obertraun.ooe.gv.at
Oberwang,Oberwang 90,4882 Oberwang,+43 6233 / 8217,+436233 / 8217 - 4,gemeinde@oberwang.ooe.gv.at
Oepping,Kapellenstraße 2,4151 Oepping,+43 7289 / 8235,+437289 / 8235 - 35,gemeinde@oepping.ooe.gv.at
Offenhausen,Gemeindeplatz 1,4625 Offenhausen,+43 7247 / 6155,+437247 / 6510 - 21,gemeindeamt@offenhausen.ooe.gv.at
Oftering,Ofteringer Straße 1,4064 Oftering,+43 7221 / 63541,,gemeinde@oftering.ooe.gv.at
Ohlsdorf,Wöhrerstraße 2,4694 Ohlsdorf,+43 7612 / 47 2 55 - 0,+437612 / 47 2 55 - 19,gemeinde@ohlsdorf.ooe.gv.at
Ort im Innkreis,Ort im Innkreis 81,4974 Ort im Innkreis,+43 7751 / 8314,+437751 / 8314 - 15,gemeinde@ort.ooe.gv.at
Ostermiething,Bergstraße 30,5121 Ostermiething,+43 6278 / 6255,+436278 / 6255 - 21,gemeinde@ostermiething.ooe.gv.at
Ottenschlag im Mühlkreis,Marktplatz 2,4204 Reichenau im Mühlkreis,+43 7211 / 8255 - 0,+437211 / 8255-5,gemeindeamt@ottenschlag.at
Ottensheim,Marktplatz 7,4100 Ottensheim,+43 7234 / 82 2 55,+43 7234 / 82 255 -34,gemeinde@ottensheim.ooe.gv.at
Ottnang am Hausruck,Marktplatz 1,4901 Ottnang am Hausruck,+43 7676 / 7255,+437676 / 7255 - 20,gemeinde@ottnang.ooe.gv.at
Pabneukirchen,Markt 16,4363 Pabneukirchen,+43 7265 / 5255,+437265 / 5255 - 50,gemeinde@pabneukirchen.ooe.gv.at
Palting,Palting 15,5163 Palting,+43 6217 / 7124,+436217 / 7124 - 4,gemeinde@palting.ooe.gv.at
Pasching,Leondinger Straße 10,4061 Pasching,+43 7221 / 88 5 15,+437221 / 88 6 88,office@pasching.at
Pattigham,Hauptstrasse 10,4910 Pattigham,+43 7754 / 8455,,gemeinde@pattigham.ooe.gv.at
Peilstein im Mühlviertel,Markt 7,4153 Peilstein im Mühlviertel,+43 7287 / 7203,+437287 / 7203 - 18,gemeinde@peilstein.at
Pennewang,Pennewang 17,4624 Pennewang,+43 7245 / 26 1 55,+437245 / 26 1 55 - 4,gemeinde@pennewang.ooe.gv.at
Perg,Hauptplatz 4,4320 Perg,+43 7262 / 52 2 55 - 0,+437262 / 52 2 55 - 85,stadtamt@stadt.perg.at
Perwang am Grabensee,Hauptstraße 16,5166 Perwang am Grabensee,+43 6217 / 8247,+436217 / 8247 - 15,gemeinde@perwang.ooe.gv.at
Peterskirchen,Peterskirchen 25,4743 Peterskirchen,+43 7750 / 3413 - 0,+437750 /3413 - 16,gemeinde@peterskirchen.ooe.gv.at
Pettenbach,Kirchenplatz 3,4643 Pettenbach,+43 7586 / 8155 - 0,+437586 / 8155 - 25,gemeinde@pettenbach.ooe.gv.at
Peuerbach,Rathausplatz 1,4722 Peuerbach,+43 7276 / 2255,+437276 / 2255 - 20,stadt@peuerbach.ooe.gv.at
Pfaffing,Pfaffing 2,4870 Vöcklamarkt,+43 7682 / 6355,+437682 / 6355 - 55,gemeinde@pfaffing.ooe.gv.at
Pfaffstätt,Kirchenplatz 1,5223 Pfaffstätt,+43 7742 / 2355,+437742 / 2355 - 17,gemeinde@pfaffstaett.ooe.gv.at
Pfarrkirchen bei Bad Hall,Möderndorferstraße 1,4540 Pfarrkirchen bei Bad Hall,+43 7258 / 2433,+437258 / 2433 13,gemeinde@pfarrkirchen-badhall.ooe.gv.at
Pfarrkirchen im Mühlkreis,Pfarrkirchen im Mühlkreis 13,4141 Pfarrkirchen im Mühlkreis,+43 7285 / 415,+437285 / 415 - 4,gemeindeamt@pfarrkirchen.at
Piberbach,Dorfplatz 1,4533 Piberbach,+43 7228 / 8214,+437228 / 8214-4,gemeinde@piberbach.ooe.gv.at
Pichl bei Wels,Gemeindeplatz 7,4632 Pichl bei Wels,+43 7247 / 8555 - 0,,gemeinde@pichl.ooe.gv.at
Pierbach,Dorfstraße 22,4282 Pierbach,+43 7267 / 8255,+437267 / 8255 - 14,gemeinde@pierbach.ooe.gv.at
Pilsbach,Oberpilsbach 17,4840 Vöcklabruck,+43 7672 / 72 2 40,,gemeinde@pilsbach.ooe.gv.at
Pinsdorf,Moosweg 3,4812 Pinsdorf,+43 7612 / 639 55,+437612 / 639 55 20,gemeinde@pinsdorf.ooe.gv.at
Pischelsdorf am Engelbach,Pischelsdorf 5,5233 Pischelsdorf am Engelbach,+43 7742 / 7415 - 0,,gemeinde@pischelsdorf.ooe.gv.at
Pitzenberg,Atzbacher Straße 20,4690 Oberndorf bei Schwanenstadt,+43 7673 / 2445,+437673 / 2445 - 10,gemeinde@pitzenberg.ooe.gv.at
Pollham,Pollham 31,4710 Grieskirchen,+43 7248 / 68 7 12,+437248 / 68 7 12 - 20,gemeinde@pollham.ooe.gv.at
Polling im Innkreis,Waghamer Straße 3,4951 Polling i.I.,+43 7723 / 6505,+437723 / 6505 - 20,gemeinde@polling-innkreis.ooe.gv.at
Pöndorf,Pöndorf 5,4891 Pöndorf,+43 7684 / 7113,+437684 / 7113 - 20,gemeinde@poendorf.at
Pötting,Pötting 55,4720 Neumarkt im Hausruckkreis,+43 7733 / 7285,+437733 / 7285 - 18,gemeinde@poetting.ooe.gv.at
Pram,Marktstraße 1,4742 Pram,+43 7736 / 6255,+437736 / 6255 - 31,Gemeinde@pram.at
Prambachkirchen,Prof.-Anton-Lutz-Weg 1,4731 Prambachkirchen,+43 7277 / 2302 - 0,+437277 / 2302 - 22,gemeinde@prambachkirchen.at
Pramet,Pramet 35,4925 Pramet,+43 7754 / 8450,+437754 / 8191,gemeinde@schildorn-pramet.at
Pregarten,Stadtplatz 12,4230 Pregarten,+43 7236 / 2255 - 0,+437236 / 2255 - 27,stadtamt@pregarten.ooe.gv.at
Puchenau,Kirchenstraße 1,4048 Puchenau,+43 732 / 221055 - 0,+43732 / 221055 - 211,gemeinde@puchenau.at
Puchkirchen am Trattberg,Puchkirchen 3,4849 Puchkirchen am Trattberg,+43 7682 / 7228,+437682 / 7228 - 8,gemeinde@puchkirchen.ooe.gv.at
Pucking,Puckinger Straße 5,4055 Pucking,+43 7229 / 88 9 11,+437229 / 88 9 11 - 10,gemeinde@pucking.ooe.gv.at
Pühret,Atzbacher Straße 20,4690 Oberndorf bei Schwanenstadt,+43 7673 / 2445,+437673 / 2445 - 10,gemeinde@puehret.ooe.gv.at
Pupping,Pupping 13,4070 Pupping,+43 7272 / 2331,+437272 / 2331 - 17,gemeinde@pupping.ooe.gv.at
Putzleinsdorf,Markt 7,4134 Putzleinsdorf,+43 7286 / 8276 - 0,+437286 / 8276 - 9,marktgemeinde@putzleinsdorf.at
Raab,Marktstraße 7,4760 Raab,+43 7762 / 2255,,gemeinde@raab.ooe.gv.at
Rainbach im Innkreis,Rainbach i.I. 50,4791 Rainbach im Innkreis,+43 7716 / 8013,+437716 / 8013 - 22,gemeinde@rainbach-innkreis.ooe.gv.at
Rainbach im Mühlkreis,Prager Straße 5,4261 Rainbach im Mühlkreis,@+43 7949 / 6255 - 0,+43 7949 / 6255 ? 17,gemeinde@rainbach-muehlkreis.ooe.gv.at
Rechberg,Rechberg 9,4324 Rechberg,+43 7264 / 4655,+437264 / 4655 - 4,gemeindeamt@rechberg.ooe.gv.at
Redleiten,Redltaler Straße 23,4873 Redleiten,+43 7683 / 8355,+437683 / 8355 - 14,gemeinde@redleiten.ooe.gv.at
Redlham,Redlham 1,4846 Redlham,+43 7674 / 62 2 79,+437674 / 62 2 79 - 14,gemeinde@redlham.ooe.gv.at
Regau,Regau 9,4844 Regau,+43 7672 / 23 1 02,+437672 / 23 1 02 - 4,gemeinde@regau.ooe.gv.at
Reichenau im Mühlkreis,Marktplatz 2,4204 Reichenau im Mühlkreis,+43 7211 / 8255 - 0,+437211 / 8255-5,marktgemeindeamt@reichenau-ooe.at
Reichenthal,Oberer Markt 11,4193 Reichenthal,+43 7214 / 7007,+437214 / 7007 - 18,gemeinde@reichenthal.at
Reichersberg,Marktplatz 1,4981 Reichersberg,+43 7758 / 2315,+7758/2315-15,gemeinde@reichersberg.ooe.gv.at
Reichraming,Am Ortsplatz 1,4462 Reichraming,+43 7255 / 6600,+437255 / 6600 - 30,gemeindeamt@reichraming.at
Ried im Innkreis,Hauptplatz 12,4910 Ried im Innkreis,+43 7752 / 901 -0,+437752 / 71217,office@ried.gv.at
Ried im Traunkreis,Hauptstraße 27,4551 Ried im Traunkreis,+43 7588 / 7255,+437588 / 7255 - 10,gemeinde@ried-traunkreis.ooe.gv.at
Ried in der Riedmark,Marktplatz 2,4312 Ried in der Riedmark,+43 7238 / 2055,+437238 / 2055 - 30,gemeinde@ried-riedmark.ooe.gv.at
Riedau,Marktplatz 32-33,4752 Riedau,+43 7764 / 8255,,gemeinde@riedau.ooe.gv.at
Rohr im Kremstal,Ortsplatz 1,4532 Rohr im Kremstal,+43 7258 / 2207,+437258 / 2207,gemeinde@rohr.ooe.gv.at
Rohrbach-Berg,Stadtplatz 1-2,4150 Rohrbach-Berg,+43 7289 / 6255,+437289 / 6255 - 133,stadt@rohrbach-berg.ooe.gv.at
Roitham am Traunfall,Gemeindeplatz 9,4661 Roitham,+43 7613 / 5155 - 0,+437613 / 5155 - 4,gemeinde@roitham.ooe.gv.at
Rosenau am Hengstpaß,Hauptstraße 16,4581 Rosenau am Hengstpaß,+43 7566 / 255,+437566 / 255 - 30,gemeinde@rosenau.ooe.gv.at
Roßbach,Roßbach 14,5273 Roßbach,+43 7724 / 8110,+437724 / 8110 - 4,gemeinde@rossbach.ooe.gv.at
Roßleithen,Pichl 1,4575 Roßleithen,+43 7562 / 5230,+437562 / 5230 - 77,gemeinde@rossleithen.ooe.gv.at
Rottenbach,Rottenbach 12,4681 Rottenbach,+43 7732 / 2755,+437732 / 2755 - 50,gemeinde@rottenbach.ooe.gv.at
Rüstorf,Rüstorf 1,4690 Schwanenstadt,+43 7673 / 2455,+437673 / 2455 - 18,gemeinde@ruestorf.ooe.gv.at
Rutzenham,Atzbacher Straße 20,4690 Oberndorf bei Schwanenstadt,+43 7673 / 2445,+437673 / 2445 - 10,gemeinde@rutzenham.ooe.gv.at
Sandl,Sandl 24,4251 Sandl,+43 7944 / 8255,,gemeinde@sandl.ooe.gv.at
Sarleinsbach,Marktplatz 4,4152 Sarleinsbach,+43 7283 / 8255,+437283 / 8255 -50,gemeindeamt@sarleinsbach.at
Sattledt,Marktplatz 1,4642 Sattledt,+43 7244 / 8855 - 0,,gemeinde@sattledt.ooe.gv.at
Saxen,Saxen 77,4351 Saxen,+43 7269 / 355,+437269 / 355 - 20,gemeinde@saxen.at
Schalchen,Hauptstraße 3a,5231 Schalchen,+43 7742 / 2555,+437742 / 2555 - 25,gemeinde@schalchen.ooe.gv.at
Schardenberg,Schärdingerstraße 4,4784 Schardenberg,+43 7713 / 70 55,,office@schardenberg.ooe.gv.at
Schärding,Unterer Stadtplatz 1,4780 Schärding,+43 7712 / 3154,+437712 / 3154 - 554,stadt@schaerding.ooe.gv.at
Scharnstein,Hauptstraße 13,4644 Scharnstein,+43 7615 / 2255,+437615 / 2255 - 30,gemeinde@scharnstein.ooe.gv.at
Scharten,Scharten 60,4612 Scharten,+43 7272 / 5255,+437272 / 5255 - 9,gemeinde@scharten.ooe.gv.at
Schenkenfelden,Markt 1,4192 Schenkenfelden,+43 7214 / 7005,+437214 / 7005-9,gemeinde@schenkenfelden.ooe.gv.at
Schiedlberg,Gemeindeplatz 1,4521 Schiedlberg,+43 7251 / 255,+437251 / 255 - 15,gemeinde@schiedlberg.ooe.gv.at
Schildorn,Dorfplatz 1,4920 Schildorn,+43 7754 / 8030,+437754 / 8030 - 16,gemeinde@schildorn-pramet.at
Schlatt,Atzbacher Strasse 20,4690 Oberndorf bei Schwanenstadt,+43 7673 / 2355,43 7673 2356 10,gemeinde@schlatt.ooe.gv.at
Schleißheim,Dorfstraße 14,4600 Schleißheim,+43 7242 / 42420 - 0,+437242 / 42 4 20 - 6,gemeinde@schleissheim.at
Schlierbach,Stiftsstraße 1,4553 Schlierbach,+43 7582 / 81255,+437582 / 81 2 55 - 5,gemeinde@schlierbach.at
Schlüßlberg,Marktplatz 1,4707 Schlüßlberg,+43 7248 / 66 0 66 - 0,+437248 / 66 0 66 - 20,gemeinde@schluesslberg.ooe.gv.at
Schönau im Mühlkreis,Schulstraße 1,4274 Schönau im Mühlkreis,+43 7261 / 7255,+437261 / 7255 - 19,gemeinde@schoenau-im.at
Schörfling am Attersee,Marktplatz 32,4861 Schörfling am Attersee,+43 7662 / 3255 - 0,+43 7662 / 3255 - 60,gemeinde@schoerfling.eu
Schwand im Innkreis,Neukirchner Straße 2,5134 Schwand im Innkreis,+43 7728 / 7010,+437728 / 7010 - 4,gemeinde@schwand.ooe.gv.at
Schwanenstadt,Stadtplatz 54,4690 Schwanenstadt,+43 7673 / 2255,+437673 / 2255 - 39,stadtamt@schwanenstadt.ooe.gv.at
Schwarzenberg am Böhmerwald,Hauptstraße 4,4164 Schwarzenberg am Böhmerwald,+43 7280 / 255 - 0,+437280 / 255 - 4,gemeinde@schwarzenberg.ooe.gv.at
Schwertberg,Schacherbergstraße 3,4311 Schwertberg,+43 7262 / 61155,+437262 / 62 7 75,gemeinde@schwertberg.at
Seewalchen am Attersee,Rathausplatz 1,4863 Seewalchen am Attersee,+43 7662 / 4491 - 0,+437662 / 4491 - 21,gemeinde@seewalchen.eu
Senftenbach,Berg 22,4973 Senftenbach,+43 7751 /8245,+437751 / 8245-14,gemeinde@senftenbach.ooe.gv.at
Sierning,Kirchenplatz 1,4522 Sierning,+43 7259 / 2255,+437259 / 2255 - 272,gemeinde@sierning.at
Sigharting,Hofmark 5,4771 Sigharting,+43 7766 / 2405,+437766 / 2405 - 15,gemeinde@sigharting.ooe.gv.at
Sipbachzell,Hauptstraße 29,4621 Sipbachzell,+43 7240 / 8155 - 15,+437240 / 8155 - 19,gemeinde@sipbachzell.ooe.gv.at
Sonnberg im Mühlkreis,Sonnberg 70,4180 Sonnberg im Mühlkreis,+43 7212 / 6565,+437212 / 6565 - 20,gemeinde@sonnberg.ooe.gv.at
Spital am Pyhrn,Stiftsplatz 7,4582 Spital am Pyhrn,+43 7563 / 255,+437563 / 255 - 83,gemeinde@spital-pyhrn.ooe.gv.at
St. Aegidi,St. Aegidi 10,4725 St. Aegidi,+43 7717 / 7355,+437717 / 7355 - 4,gemeinde@st-aegidi.ooe.gv.at
St. Agatha,Kirchenplatz 1,4084 St. Agatha,+43 7277 / 8255 - 0,+437277 / 8255 - 12,gemeinde@st-agatha.ooe.gv.at
St. Florian,Leopold Kotzmann-Straße 1,4490 St. Florian,+43 7224 / 4255,+437224 / 4255 - 42,gemeinde@st-florian.ooe.gv.at
St. Florian am Inn,St. Florian am Inn 11,4782 St. Florian am Inn,+43 7712 / 3021,+437712 / 3021 - 24,gemeinde@st-florian-inn.ooe.gv.at
St. Georgen am Fillmannsbach,St. Georgen 29,5144 St. Georgen am Fillmannsbach,+43 7748 / 8075,+437748 / 8075,gemeinde@st-georgen-fillmannsbach.ooe.gv.at
St. Georgen am Walde,Markt 9,4372 St. Georgen am Walde,+43 7954 / 3030,+437954 / 3030 - 30,marktgemeinde@st-georgen-walde.ooe.gv.at
St. Georgen an der Gusen,Marktplatz 12,4222 St. Georgen an der Gusen,+43 7237 / 2255,+437237 / 2255 - 55,gemeinde@st-georgen-gusen.at
St. Georgen bei Grieskirchen,St. Georgen 34,4710 Grieskirchen,+43 7248 / 62463,+437248 / 62 4 63 - 13,gemeinde@st-georgen-grieskirchen.ooe.gv.at
St. Georgen bei Obernberg am Inn,St. Georgen bei Obernberg am Inn 18,4983 Obernberg am Inn,+43 7758 / 2355,+437758 / 2355-4,gemeinde@st-georgen-obernberg.ooe.gv.at
St. Georgen im Attergau,Attergaustraße 21,4880 St. Georgen im Attergau,+43 7667 / 6255,+437667 / 6255 - 34,gemeinde@st-georgen-attergau.ooe.gv.at
St. Gotthard im Mühlkreis,Rottenegger Straße 17,4112 St. Gotthard im Mühlkreis,+43 7234 / 87055,+437234 / 87 0 55 - 23,gemeinde@st-gotthard.ooe.gv.at
St. Johann am Walde,St. Johann am Walde 8,5242 St. Johann am Walde,+43 7743 / 8600,+437743 / 8600 - 20,gemeinde@st-johann-walde.ooe.gv.at
St. Johann am Wimberg,St. Johann am Wimberg 10,4172 St. Johann am Wimberg,+43 7217 / 7155,+437217 / 7155 - 16,gemeinde@stjohannamwimberg.at
St. Konrad,Ort 10,4817 St. Konrad,+43 7615 / 8029,+437615 / 8029 - 16,gemeinde@st-konrad.ooe.gv.at
St. Leonhard bei Freistadt,Hauptstraße 9,4294 St. Leonhard bei Freistadt,+43 7952 / 8255,+437952 / 8255 - 9,gemeinde@st-leonhard.ooe.gv.at
St. Lorenz,Wredeplatz 2,5310 Mondsee,+43 6232 / 2265,+436232 / 2265 - 25,gemeinde@st-lorenz.ooe.gv.at
St. Marien,St. Marien 1,4502 St. Marien,+43 7227 / 8155,+437227 / 8155 - 24,gemeinde@st-marien.ooe.gv.at
St. Marienkirchen am Hausruck,St. Marienkirchen am Hausruck 11,4926 St. Marienkirchen am Hausruck,+43 7753 / 2812,+437753 / 2812 - 4,gemeinde@st-marienkirchen-hausruck.ooe.gv.at
St. Marienkirchen an der Polsenz,Kirchenplatz 1,4076 St. Marienkirchen an der Polsenz,+43 7249 / 47112 - 0,+437249 / 47 1 12 - 6,gemeinde@st-marienkirchen-polsenz.ooe.gv.at
St. Marienkirchen bei Schärding,Hauptstraße 8,4774 St. Marienkirchen bei Schärding,+43 7711 / 2254 - 0,+437711 / 2254-30,gemeinde@st-marienkirchen.ooe.gv.at
St. Martin im Innkreis,Diesseits 184,4973 St. Martin im Innkreis,+43 7751 / 8255 - 0,+437751 / 8255 - 14,gemeinde@st-martin-innkreis.at
St. Martin im Mühlkreis,Markt 2,4113 St. Martin im Mühlkreis,+43 7232 / 2105 - 0,+437232 / 2105 - 9,gemeindeamt@sankt-martin.at
St. Nikola an der Donau,St. Nikola 16,4381 St. Nikola an der Donau,+43 7268 / 8155,+437268 / 8155 - 11,gemeinde@st-nikola-donau.ooe.gv.at
St. Oswald bei Freistadt,Markt 80,4271 St. Oswald bei Freistadt,+43 7945 / 7255,+437945 / 7255 - 28,gemeinde@st-oswald-freistadt.ooe.gv.at
St. Oswald bei Haslach,St. Oswald bei Haslach 18,4170 St. Oswald bei Haslach,+43 7289 / 71555 - 0,+437289 / 71 5 55 - 9,gemeinde@st-oswald-haslach.ooe.gv.at
St. Pankraz,St. Pankraz 1,4572 St. Pankraz,+43 7565 / 245 - 0,+437565 / 245 - 4,gemeinde@st-pankraz.ooe.gv.at
St. Pantaleon,Pantaleoner Straße 25,5120 St. Pantaleon,+43 6277 / 7990,+436277 / 7990 - 12,gemeinde@st-pantaleon.ooe.gv.at
St. Peter am Hart,St. Peter 39,4963 St. Peter am Hart,+43 7722 / 62843,+437722 / 62 8 43 - 15,gde@st-peter-hart.ooe.gv.at
St. Peter am Wimberg,Markt 2,4171 St. Peter am Wimberg,+43 7282 / 8055 - 15,+437282 / 8055 - 22,gemeinde@st-peter.at
St. Radegund,St. Radegund 7,5121 St. Radegund,+43 6278 / 20055,+436278 / 200 55 - 20,post@st-radegund.ooe.gv.at
St. Roman,Altendorf 11,4793 St. Roman,+43 7716 / 7359,+437716 / 7359 - 4,gemeinde@st-roman.ooe.gv.at
St. Stefan-Afiesl,St. Stefan am Walde 65,4170 St. Stefan-Afiesl,+43 7216 / 7010 - 0,+437216 / 7010 - 22,gemeinde@ststefan-afiesl.at
St. Thomas,St. Thomas 100,4732 St. Thomas,+43 7277 / 7212,+437277 / 7212 - 20,gemeinde@st-thomas.ooe.gv.at
St. Thomas am Blasenstein,Markt 7,4364 St. Thomas am Blasenstein,+43 7265 / 5455,,marktgemeinde@st-thomas-blasenstein.ooe.gv.at
St. Ulrich bei Steyr,Pfarrplatz 7,4400 St. Ulrich bei Steyr,+43 7252 / 53303 - 0,+437252 / 46 0 90,gemeinde@st-ulrich.at
St. Ulrich im Mühlkreis,Ulrichstraße 4,4116 St. Ulrich im Mühlkreis,+43 7282 / 6213,+437282 / 6213 - 14,gemeindeamt@st-ulrich.ooe.gv.at
St. Veit im Innkreis,St. Veit im Innkreis 31,5273 St. Veit im Innkreis,+43 7723 / 6113,+437723 / 6113 - 4,gemeinde@st-veit-innkreis.ooe.gv.at
St. Veit im Mühlkreis,Schnopfhagenplatz 3,4173 St. Veit im Mühlkreis,+43 7217 / 6055,+437217 / 6055 - 21,gemeinde@st-veit.ooe.gv.at
St. Willibald,Hauptstraße 20,4762 St. Willibald,+43 7762 / 2815,+437762 / 2815 - 26,gemeinde@sankt-willibald.at
St. Wolfgang im Salzkammergut,Rudi Nierlich Platz 1,5360 St. Wolfgang im Salzkammergut,+43 6138 / 2312 - 0,+436138 / 2312 - 81,gemeindeamt@st-wolfgang.ooe.gv.at
Stadl-Paura,Marktplatz 1,4651 Stadl-Paura,+43 7245 / 28 0 11,+437245 / 28 0 11 - 25,gemeinde@stadl-paura.at
Steegen,Badergasse 5,4722 Peuerbach,+43 7276 / 2301 - 0,+437276 / 2301 - 4,gemeinde@steegen.ooe.gv.at
Steinbach am Attersee,Steinbach am Attersee 5,4853 Steinbach am Attersee,+43 7663 / 255 - 0,+437663 / 255 - 21,gemeinde@steinbach-attersee.ooe.gv.at
Steinbach am Ziehberg,Steinbach 4,4562 Steinbach am Ziehberg,+43 7582 / 7255,+437582 / 7255 - 25,gemeinde@steinbach-ziehberg.ooe.gv.at
